DATE,PRICE,ADDRESS,AREAS,BEDROOMS,PARKING-SPACES,BATHROOMS,CONDOMÍNIO,IPTU,TIPO
2021-08-05 16:34:21.429587-03:00,R$ 675.000,"Jardim Goiás, Goiânia",113 m²,3,3,1,R$ 667,,apartamentos
2021-08-05 16:34:21.430000-03:00,R$ 280.000,"Residencial Eldorado, Goiânia",69 m²,3,2,2,R$ 400,R$ 300,apartamentos
2021-08-05 16:34:21.430470-03:00,R$ 225.000,"Rua de Icarai, Jardim Atlântico",62 m²,2,1,1,R$ 400,,apartamentos
2021-08-05 16:34:21.430907-03:00,R$ 580.000,"Residencial Eldorado Expansao, Goiânia",100 m²,3,2,3,R$ 450,R$ 479,apartamentos
2021-08-05 16:34:21.431325-03:00,R$ 390.000,"Rua T 60, Setor Bueno",158 m²,3,1,2,R$ 600,R$ 1,apartamentos
2021-08-05 16:34:21.431822-03:00,R$ 313.000,"Rua Caapi, Parque Amazônia",64 m²,2,1,2,,,apartamentos
2021-08-05 16:34:21.432181-03:00,R$ 381.000,"Rua Caapi, Parque Amazônia",83 m²,3,1,2,,,apartamentos
2021-08-05 16:34:21.432537-03:00,R$ 539.000,"Avenida Olinda, Park Lozândes",105 m²,3,2,4,R$ 420,R$ 550,apartamentos
2021-08-05 16:34:21.432959-03:00,R$ 145.000,"Avenida Senador Péricles, Setor Negrão de Lima",58 m²,2,1,1,R$ 200,R$ 280,apartamentos
2021-08-05 16:34:21.433394-03:00,R$ 330.000,"Rua Cacauí, Parque Amazônia",79 m²,3,2,2,R$ 390,,apartamentos
2021-08-05 16:34:21.433782-03:00,R$ 285.000,"Rua Dona Isoleta, Vila Rosa",60 m²,2,1,2,R$ 300,,apartamentos
2021-08-05 16:34:21.434162-03:00,R$ 220.000,"Rua Gladiolo, Parque Oeste Industrial",54 m²,2,1,2,,,apartamentos
2021-08-05 16:34:21.434541-03:00,R$ 870.000,"Rua T 36, Setor Bueno",165 m²,3,3,5,R$ 800,,apartamentos
2021-08-05 16:34:21.434939-03:00,R$ 1.650.000,"Rua 1141, Setor Marista",230 m²,4,3,5,R$ 800,R$ 1.200,apartamentos
2021-08-05 16:34:21.435381-03:00,R$ 230.000,"Parque Amazônia, Goiânia",64 m²,2,1,2,R$ 250,,apartamentos
2021-08-05 16:34:21.435797-03:00,R$ 590.000,"Rua S 2, Setor Bela Vista",134 m²,4,2,3,R$ 1.000,,apartamentos
2021-08-05 16:34:21.436490-03:00,R$ 289.000,"Avenida dos Diamantes, Setor Recanto das Minas Gerais",91 m²,2,2,3,,,apartamentos
